"Year","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"GB","-","1432.7","1500.79","1551.19","1575.58","1569.63","1596.38","1622.96","1595.3","1731.46","1659.9","1705.95","1652.46","1545.84","1530.06","1606.37","1725.7","1630.11","1631.12","1693.98","1620.5","1674.46","1656.68","1666.62","1666.28","1591.68","1544.03","1597.26","1365.13","1277.97","1307.78","1318.85","1451.88","1370.58","1434.54","1483.85","1413.22","1375.4","1291.79","1505.97","1605.76","1698.5","1768.63","1723.34","1662.07","1674.09","1776.93","1735.17","1574.59","1560.35","1454.28","1445.39","1600.38","1465.06","1461.72","1425.24","1401.47","1340.8","1441.25","1390.01","1362.94","1465.59","1545.27","1479.71","1565.31","1500.01","1369.86","1417.93","1405.47","1484.79","1414.29","1405.46","1513.6","1555.26","1586.1","1660.3","1779.63","1764.04","1646.59","1551.52","1581.75","1638.78","1572.72","1631.82","1552.78","1444.65","1493.08","1616.56","1501.13","1605.42","1739.72","1708.45","1653.39","1497.24","1649.06","1621.15","1627.58"
"DET","-","-","-","-","-","-","-","-","-","-","1406.29","1585.72","1630.18","1555.53","1614.51","1655.16","1652.11","1622.99","1563.14","1523.53","1494.81","1488.93","1300.12","1407.89","1539.22","1554.72","1328.55","1361.06","1332.69","1421.19","1478.57","1555.81","1684.44","1678.66","1658.1","1482.43","1599.76","1641.61","1527.4","1430.2","1542.72","1528.61","1659.65","1529.09","1578.49","1485.02","1388.99","1456.21","1402.3","1592.81","1663.06","1579.75","1592.12","1541.85","1514.74","1486.38","1467.38","1419.58","1478.06","1318.49","1472.28","1524.24","1487.42","1536.48","1394.09","1437.87","1354.11","1373.12","1343.84","1463.99","1472.99","1624.7","1475.4","1502.08","1534.3","1579.58","1410.03","1514.73","1439.78","1446.57","1511.61","1350.52","1296.89","1367.48","1392.98","1354.12","1329.53","1407.61","1241.34","1213.29","1423.73","1533","1396.96","1456.04","1554.9","1501.78","1498.6"
"MIN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1288.63","1296.32","1396.93","1551.61","1536.72","1479.18","1423.75","1532.19","1708.56","1714.21","1656.89","1570.55","1694.49","1642.89","1674.6","1698.65","1612.24","1499.11","1426.29","1497.59","1440","1488.87","1450.2","1318.75","1404.23","1534.23","1603.52","1600.53","1581.42","1504.85","1442.21","1575.65","1549.29","1521.18","1529.54","1500.28","1511.76","1735.85","1650.71","1566.2","1426.95","1433.3","1517.19","1500.74","1522.18","1402.66","1507.09","1555.09","1623.8","1480.24","1379.05","1548.75","1459.74","1466.36","1598.24","1494.76"
"CHI","1566.85","1632.43","1668.89","1655.09","1656.54","1664.04","1671.92","1615.26","1538.82","1371.23","1603.66","1587.86","1669.62","1672.7","1724.4","1648.68","1685.61","1672.76","1612.67","1639.04","1712.19","1776.51","1775.17","1747.82","1651.51","1480.93","1615.26","1620.17","1699.82","1690.53","1621.55","1519.23","1414.12","1387.26","1547.54","1586.55","1611.49","1506.12","1579.06","1621.27","1468","1529.55","1588.31","1703.6","1451.26","1635.36","1510.64","1548.96","1492.07","1320.76","1453.63","1417.98","1410.4","1337.69","1318.18","1354.2","1462.22","1509.09","1476.21","1522.36","1499.75","1456.17","1424.26","1482.15","1560.13","1796.11","1691.13","1621.08","1587.74","1439.38","1533.99","1555.32","1421.98","1434.76","1512.58","1514.71","1484.82","1397.38","1363.17","1399.45","1377.07","1596.18","1394.21","1440.13","1363.61","1521.26","1609.62","1518.7","1534.83","1461.91","1580.72","1504.72","1545.52","1487.86","1376.34","1413.54","1323.4"
"ATL","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1283.69","1241.68","1248.7","1474.59","1402.91","1499.61","1480.02","1529.22","1371.42","1406.4","1362.81","1457.22","1456.62","1388.26","1597.49","1510.03","1454.43","1488.87","1349.23","1378.84","1446.47","1298.69","1381.6","1311.65","1394.9","1569.73","1457.61","1430.75","1443.74","1494.36","1337.55","1441.96","1682.24","1444.1","1354.19","1384.58","1543.8","1448.73","1528.33","1486.68","1419.93","1337.44","1539.08","1555.15","1619.6","1566.06","1632.3","1435.74","1440.53","1476.25","1673.31"
"TB","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1168.27","1262.4","1325.31","1438.65","1357.77","1494.23","1488.05","1315.83","1395.98","1288.95","1205.7","1290","1352.24","1353.82","1386.74","1325.55","1324.44","1385.85","1396.44","1385.1","1460.95","1533.71","1530.22","1608.96","1602.37","1568.3","1729.01","1552.14","1431.35","1528.41","1373.58","1457.44","1473.07","1390.64","1532.71","1322.98","1452.01","1401.74","1312.59","1365.86","1505.85"
"NO","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1297.33","1341.88","1375.29","1276.46","1386.31","1323.3","1397.07","1429.54","1281.01","1339.42","1267.08","1429.31","1505.01","1278.72","1308.18","1423.04","1460.62","1444.6","1381.72","1462.12","1592.64","1584.33","1608.82","1526.68","1581.06","1631.42","1491.69","1485.73","1476.81","1322.58","1361.48","1404.22","1329.73","1494.97","1423.98","1494.24","1517.03","1507.97","1336.08","1521.46","1474.1","1523.61","1700.12","1590.58","1689.65","1547.86","1608.11","1477.06","1442.75","1494.89"
"CAR","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1392.76","1625.58","1478.64","1412.42","1461.8","1489.43","1303.93","1427.83","1597.76","1542.67","1640.43","1515.41","1459.69","1542.01","1595.06","1333.05","1458.1","1526.02","1612.53","1550.89","1697.87","1537.82"
"SEA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1202.79","1347.92","1482.39","1546.49","1393.79","1452.53","1453.18","1582.51","1616.1","1566.82","1635.97","1553.58","1540.38","1464.44","1541.84","1493.45","1323.39","1398.16","1386.55","1488.84","1511.12","1507.32","1525.38","1512.76","1440.2","1489.74","1507.69","1519.22","1468.31","1657.95","1515.4","1553.55","1412.56","1349.89","1409.15","1490.97","1648.02","1765.96","1763.83","1699.34","1603.85"
"ARI","1508.61","1485.27","1561.07","1554.31","1499.71","1606.24","1516.82","1442.73","1394.69","1532.71","1534.81","1529.73","1478.1","1351.92","1462.09","1509.1","1472.28","1497.85","1406","1321.03","1372.47","1455.27","1400.67","1303.09","-","1283.9","1524.66","1627.29","1687.5","1578.63","1505.87","1456.93","1423.85","1346.59","1303.47","1412.71","1538.66","1420.48","1349.85","1325.16","1490.13","1477.53","1410.81","1520.79","1547.94","1392.89","1433.9","1425.31","1562.57","1386.69","1521.37","1428.56","1395.07","1421.93","1517.97","1603.05","1595.5","1475.58","1472.35","1434.37","1395.22","1436.74","1451.42","1555.42","1596.94","1381.12","1377.1","1464","1431.18","1363.24","1378.65","1327.7","1369.94","1526.74","1518.32","1358.91","1398.9","1349.73","1462.06","1389.82","1250.02","1390.77","1342.72","1287.96","1384.93","1378.15","1406.32","1463.38","1572.66","1548.3","1335.61","1447.87","1377.92","1574.03","1558.34","1666.42","1552.73"
"STL","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1300.37","1365.88","1489.46","1488.16","1367.11","1472.98","-","1404.56","1630.93","1565.47","1518.95","1566.37","1594.41","1645.37","1641.27","1656.52","1648.92","1559.67","1560.12","1471.86","1524.08","1585.39","1396.96","1417.66","1394.66","1303.82","1368.31","1410.09","1461.82","1556.01","1685.44","1672.96","1622.3","1636.57","1606.28","1488.57","1669.85","1616.74","1671.43","1648.33","1646.4","1605.26","1552.63","1591.66","1444.21","1381.33","1519.11","1546.5","1571.15","1563.44","1479.02","1572.72","1647.91","1469.89","1333.49","1420.23","1364.68","1338.19","1343.75","1392.27","1409.74","1359.84","1679.6","1573.55","1728.26","1537.08","1569.38","1494.73","1406.88","1465.45","1343.28","1267.27","1222.21","1372.28","1276.31","1443.73","1516.62","1462.92","1466.34","1345.69"
"SF","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1422.11","1477.82","1628.69","1632.16","1431.41","1555.6","1533.3","1625.83","1590.75","1423.78","1458.47","1524.69","1504.12","1494.35","1538.01","1503.21","1454.05","1332.32","1393.21","1522.46","1514.99","1458.42","1507.11","1435.81","1609.87","1596.59","1597.92","1451.21","1470.85","1379.08","1495.13","1447.54","1312.84","1294.76","1373.03","1673.29","1546.98","1617.47","1788.04","1670.33","1628","1693.92","1691.18","1794.71","1725.86","1695.77","1722.17","1664.64","1761.27","1685.78","1657.4","1633.26","1647.4","1357.23","1432.4","1589.36","1534.95","1507.28","1298.86","1302.07","1406.32","1352.43","1427.94","1495.2","1444.67","1630.19","1683.75","1719.14","1540.35","1403.52","1277.69"
